UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
Q13972	5923	RGRF1	PH 1;IQ;DH;PH 2;N-terminal Ras-GEF;Ras-GEF	
O14827	5924	RGRF2	PH 1;IQ;DH;PH 2;N-terminal Ras-GEF;Ras-GEF	
P06400	5925	RB		Retinoblastoma protein (RB) family
P29374	5926	ARI4A	ARID	
P29375	5927	KDM5A	JmjN;ARID;JmjC	JARID1 histone demethylase family
Q09028	5928	RBBP4		WD repeat RBAP46/RBAP48/MSI1 family
Q15291	5929	RBBP5		
Q7Z6E9	5930	RBBP6	DWNN	
Q16576	5931	RBBP7		WD repeat RBAP46/RBAP48/MSI1 family
Q99708	5932	CTIP		COM1/SAE2/CtIP family
P28749	5933	RBL1		Retinoblastoma protein (RB) family
Q08999	5934	RBL2		Retinoblastoma protein (RB) family
P98179	5935	RBM3	RRM	
Q9BWF3	5936	RBM4	RRM 1;RRM 2	
P29558	5937	RBMS1	RRM 1;RRM 2	
Q15434	5939	RBMS2	RRM 1;RRM 2	
P0DJD3	5940	RBY1A	RRM	
P09455	5947	RET1		Calycin superfamily, Fatty-acid binding protein (FABP) family
P50120	5948	RET2		Calycin superfamily, Fatty-acid binding protein (FABP) family
P10745	5949	RET3		Peptidase S41A family
P02753	5950	RET4		Calycin superfamily, Lipocalin family
Q15293	5954	RCN1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5;EF-hand 6	CREC family
Q14257	5955	RCN2	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5;EF-hand 6	CREC family
P35243	5957	RECO	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Recoverin family
Q92781	5959	RDH5		Short-chain dehydrogenases/reductases (SDR) family
P23942	5961	PRPH2		PRPH2/ROM1 family
P35241	5962	RADI	FERM	
P46063	5965	RECQ1	Helicase ATP-binding;Helicase C-terminal	Helicase family, RecQ subfamily
Q04864	5966	REL	RHD	
P05451	5967	REG1A	C-type lectin	
P48304	5968	REG1B	C-type lectin	
Q04206	5970	TF65	RHD	
Q01201	5971	RELB	RHD	
P00797	5972	RENI	Peptidase A1	Peptidase A1 family
P51606	5973	RENBP		N-acylglucosamine 2-epimerase family
Q92900	5976	RENT1		DNA2/NAM7 helicase family
Q92785	5977	REQU		Requiem/DPF family
Q13127	5978	REST		
P07949	5979	RET	Cadherin;Protein kinase	Protein kinase superfamily, Tyr protein kinase family
O60673	5980	REV3L		DNA polymerase type-B family
P35251	5981	RFC1	BRCT	Activator 1 large subunit family
P35250	5982	RFC2		Activator 1 small subunits family
P40938	5983	RFC3		Activator 1 small subunits family
P35249	5984	RFC4		Activator 1 small subunits family
P40937	5985	RFC5		Activator 1 small subunits family
P14373	5987	TRI27	B30.2/SPRY	TRIM/RBCC family
P22670	5989	RFX1		RFX family
P48378	5990	RFX2		RFX family
P48380	5991	RFX3		RFX family
Q33E94	5992	RFX4		RFX family
P48382	5993	RFX5		RFX family
O00287	5994	RFXAP		
P47804	5995	RGR		G-protein coupled receptor 1 family, Opsin subfamily
Q08116	5996	RGS1	RGS	
P41220	5997	RGS2	RGS	
P49796	5998	RGS3	C2;PDZ;RGS	
P49798	5999	RGS4	RGS	
P49802	6000	RGS7	DEP;G protein gamma;RGS	
O43665	6001	RGS10	RGS	
O14924	6002	RGS12	PDZ;PID;RGS;RBD 1;RBD 2;GoLoco	
O14921	6003	RGS13	RGS	
O15492	6004	RGS16	RGS	
Q02094	6005	RHAG		Ammonium transporter (TC 2.A.49) family, Rh subfamily
Q02161	6007	RHD		Ammonium transporter (TC 2.A.49) family, Rh subfamily
Q15382	6009	RHEB		Small GTPase superfamily, Rheb family
P08100	6010	OPSD		G-protein coupled receptor 1 family, Opsin subfamily
Q15835	6011	GRK1	RGS;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily
P04808	6013	REL1		Insulin family
Q99578	6014	RIT2		Small GTPase superfamily, Ras family
Q06587	6015	RING1		
Q92963	6016	RIT1		Small GTPase superfamily, Ras family
P12271	6017	RLBP1	CRAL-TRIO	
Q13129	6018	RLF		Krueppel C2H2-type zinc-finger protein family
P04090	6019	REL2		Insulin family
P07998	6035	RNAS1		Pancreatic ribonuclease family
P10153	6036	RNAS2		Pancreatic ribonuclease family
P12724	6037	ECP		Pancreatic ribonuclease family
P34096	6038	RNAS4		Pancreatic ribonuclease family
Q93091	6039	RNAS6		Pancreatic ribonuclease family
Q05823	6041	RN5A	Protein kinase;KEN	Protein kinase superfamily
Q99496	6045	RING2		
P25440	6046	BRD2	Bromo 1;Bromo 2;NET	
P78317	6047	RNF4		
Q99942	6048	RNF5		
Q9Y252	6049	RNF6		RNF12 family
P13489	6050	RINI		
Q9H4A4	6051	AMPB		Peptidase M1 family
P61221	6059	ABCE1	4Fe-4S ferredoxin-type 1;4Fe-4S ferredoxin-type 2;ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCE family
Q9Y6N7	6091	ROBO1	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3	Immunoglobulin superfamily, ROBO family
Q9HCK4	6092	ROBO2	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3	Immunoglobulin superfamily, ROBO family
Q13464	6093	ROCK1	Protein kinase;AGC-kinase C-terminal;REM-1;RhoBD;PH	Protein kinase superfamily, AGC Ser/Thr protein kinase family
Q03395	6094	ROM1		PRPH2/ROM1 family
P35398	6095	RORA	NR LBD	Nuclear hormone receptor family, NR1 subfamily
P51449	6097	RORG	NR LBD	Nuclear hormone receptor family, NR1 subfamily
P08922	6098	ROS1	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Fibronectin type-III 9;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily
Q8TA86	6100	RP9		
P56715	6101	RP1	Doublecortin 1;Doublecortin 2	
O75695	6102	XRP2	C-CAP/cofactor C-like	TBCC family
Q92834	6103	RPGR		
P27694	6117	RFA1		Replication factor A protein 1 family
P15927	6118	RFA2		Replication factor A protein 2 family
P35244	6119	RFA3		
Q96AT9	6120	RPE		Ribulose-phosphate 3-epimerase family
Q16518	6121	RPE65		Carotenoid oxygenase family
P39023	6122	RL3		Universal ribosomal protein uL3 family
Q92901	6123	RL3L		Universal ribosomal protein uL3 family
P36578	6124	RL4		Universal ribosomal protein uL4 family
P46777	6125	RL5		Universal ribosomal protein uL18 family
Q02878	6128	RL6		Eukaryotic ribosomal protein eL6 family
P18124	6129	RL7		Universal ribosomal protein uL30 family
P62424	6130	RL7A		Eukaryotic ribosomal protein eL8 family
P62917	6132	RL8		Universal ribosomal protein uL2 family
P32969	6133	RL9		Universal ribosomal protein uL6 family
P27635	6134	RL10		Universal ribosomal protein uL16 family
P62913	6135	RL11		Universal ribosomal protein uL5 family
P30050	6136	RL12		Universal ribosomal protein uL11 family
P26373	6137	RL13		Eukaryotic ribosomal protein eL13 family
P61313	6138	RL15		Eukaryotic ribosomal protein eL15 family
P18621	6139	RL17		Universal ribosomal protein uL22 family
Q07020	6141	RL18		Eukaryotic ribosomal protein eL18 family
Q02543	6142	RL18A		Eukaryotic ribosomal protein eL20 family
P84098	6143	RL19		Eukaryotic ribosomal protein eL19 family
P46778	6144	RL21		Eukaryotic ribosomal protein eL21 family
P35268	6146	RL22		Eukaryotic ribosomal protein eL22 family
P62750	6147	RL23A		Universal ribosomal protein uL23 family
Q16540	6150	RM23		Universal ribosomal protein uL23 family
P83731	6152	RL24		Eukaryotic ribosomal protein eL24 family
P61254	6154	RL26		Universal ribosomal protein uL24 family
P61353	6155	RL27	KOW	Eukaryotic ribosomal protein eL27 family
P62888	6156	RL30		Eukaryotic ribosomal protein eL30 family
P46776	6157	RL27A		Universal ribosomal protein uL15 family
P46779	6158	RL28		Eukaryotic ribosomal protein eL28 family
P47914	6159	RL29		Eukaryotic ribosomal protein eL29 family
P62899	6160	RL31		Eukaryotic ribosomal protein eL31 family
P62910	6161	RL32		Eukaryotic ribosomal protein eL32 family
P49207	6164	RL34		Eukaryotic ribosomal protein eL34 family
P18077	6165	RL35A		Eukaryotic ribosomal protein eL33 family
Q969Q0	6166	RL36L		Eukaryotic ribosomal protein eL42 family
P61927	6167	RL37		Eukaryotic ribosomal protein eL37 family
P61513	6168	RL37A		Eukaryotic ribosomal protein eL43 family
P63173	6169	RL38		Eukaryotic ribosomal protein eL38 family
P62891	6170	RL39		Eukaryotic ribosomal protein eL39 family
P62945	6171	RL41		Eukaryotic ribosomal protein eL41 family
P83881	6173	RL36A		Eukaryotic ribosomal protein eL42 family
P05388	6175	RLA0		Universal ribosomal protein uL10 family
P05386	6176	RLA1		Eukaryotic ribosomal protein P1/P2 family
P05387	6181	RLA2		Eukaryotic ribosomal protein P1/P2 family
P52815	6182	RM12		Bacterial ribosomal protein bL12 family
O15235	6183	RT12		Universal ribosomal protein uS12 family
P04843	6184	RPN1		OST1 family
P04844	6185	RPN2		SWP1 family
P15880	6187	RS2	S5 DRBM	Universal ribosomal protein uS5 family
P23396	6188	RS3	KH type-2	Universal ribosomal protein uS3 family
P61247	6189	RS3A		Eukaryotic ribosomal protein eS1 family
P62701	6191	RS4X	S4 RNA-binding	Eukaryotic ribosomal protein eS4 family
P22090	6192	RS4Y1	S4 RNA-binding	Eukaryotic ribosomal protein eS4 family
P46782	6193	RS5		Universal ribosomal protein uS7 family
P62753	6194	RS6		Eukaryotic ribosomal protein eS6 family
Q15418	6195	KS6A1	Protein kinase 1;AGC-kinase C-terminal;Protein kinase 2	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily
Q15349	6196	KS6A2	Protein kinase 1;AGC-kinase C-terminal;Protein kinase 2	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily
P51812	6197	KS6A3	Protein kinase 1;AGC-kinase C-terminal;Protein kinase 2	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily
P23443	6198	KS6B1	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily
Q9UBS0	6199	KS6B2	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily
P62081	6201	RS7		Eukaryotic ribosomal protein eS7 family
P62241	6202	RS8		Eukaryotic ribosomal protein eS8 family
P46781	6203	RS9	S4 RNA-binding	Universal ribosomal protein uS4 family
P46783	6204	RS10		Eukaryotic ribosomal protein eS10 family
P62280	6205	RS11		Universal ribosomal protein uS17 family
P25398	6206	RS12		Eukaryotic ribosomal protein eS12 family
P62277	6207	RS13		Universal ribosomal protein uS15 family
P62263	6208	RS14		Universal ribosomal protein uS11 family
P62841	6209	RS15		Universal ribosomal protein uS19 family
P62244	6210	RS15A		Universal ribosomal protein uS8 family
P62249	6217	RS16		Universal ribosomal protein uS9 family
P08708	6218	RS17		Eukaryotic ribosomal protein eS17 family
P62269	6222	RS18		Universal ribosomal protein uS13 family
P39019	6223	RS19		Eukaryotic ribosomal protein eS19 family
P60866	6224	RS20		Universal ribosomal protein uS10 family
P63220	6227	RS21		Eukaryotic ribosomal protein eS21 family
P62266	6228	RS23		Universal ribosomal protein uS12 family
P62847	6229	RS24		Eukaryotic ribosomal protein eS24 family
P62851	6230	RS25		Eukaryotic ribosomal protein eS25 family
P62854	6231	RS26		Eukaryotic ribosomal protein eS26 family
P42677	6232	RS27		Eukaryotic ribosomal protein eS27 family
P62979	6233	RS27A	Ubiquitin-like	Ubiquitin family; Eukaryotic ribosomal protein eS31 family
P62857	6234	RS28		Eukaryotic ribosomal protein eS28 family
P62273	6235	RS29		Universal ribosomal protein uS14 family
P55042	6236	RAD		Small GTPase superfamily, RGK family
P10301	6237	RRAS		Small GTPase superfamily, Ras family
Q9P2E9	6238	RRBP1		
Q92766	6239	RREB1		Krueppel C2H2-type zinc-finger protein family
P23921	6240	RIR1	ATP-cone	Ribonucleoside diphosphate reductase large chain family
P31350	6241	RIR2		Ribonucleoside diphosphate reductase small chain family
Q9BST9	6242	RTKN	REM-1;PH	
O15537	6247	XLRS1	F5/8 type C	
Q92681	6248	RSCA1	UBA	
P30622	6249	CLIP1	CAP-Gly 1;CAP-Gly 2	
Q15404	6251	RSU1		
Q16799	6252	RTN1	Reticulon	
O75298	6253	RTN2	Reticulon	
P19793	6256	RXRA	NR LBD	Nuclear hormone receptor family, NR2 subfamily
P28702	6257	RXRB	NR LBD	Nuclear hormone receptor family, NR2 subfamily
P48443	6258	RXRG	NR LBD	Nuclear hormone receptor family, NR2 subfamily
P34925	6259	RYK	WIF;Protein kinase	Protein kinase superfamily, Tyr protein kinase family
P21817	6261	RYR1	MIR 1;MIR 2;MIR 3;MIR 4;MIR 5;B30.2/SPRY 1;B30.2/SPRY 2;B30.2/SPRY 3;EF-hand	Ryanodine receptor (TC 1.A.3.1) family, RYR1 subfamily
Q92736	6262	RYR2	MIR 1;MIR 2;MIR 3;MIR 4;MIR 5;B30.2/SPRY 1;B30.2/SPRY 2;B30.2/SPRY 3	Ryanodine receptor (TC 1.A.3.1) family, RYR2 subfamily
Q15413	6263	RYR3	MIR 1;MIR 2;MIR 3;MIR 4;MIR 5;B30.2/SPRY 1;B30.2/SPRY 2;B30.2/SPRY 3	Ryanodine receptor (TC 1.A.3.1) family, RYR3 subfamily
P23297	6271	S10A1	EF-hand 1;EF-hand 2	S-100 family
Q99523	6272	SORT		VPS10-related sortilin family, SORT1 subfamily
P29034	6273	S10A2	EF-hand 1;EF-hand 2	S-100 family
P33764	6274	S10A3	EF-hand 1;EF-hand 2	S-100 family
P26447	6275	S10A4	EF-hand 1;EF-hand 2	S-100 family
P33763	6276	S10A5	EF-hand 1;EF-hand 2	S-100 family
P06703	6277	S10A6	EF-hand 1;EF-hand 2	S-100 family
P31151	6278	S10A7	EF-hand 1;EF-hand 2	S-100 family
P05109	6279	S10A8	EF-hand 1;EF-hand 2	S-100 family
P06702	6280	S10A9	EF-hand 1;EF-hand 2	S-100 family
P60903	6281	S10AA		S-100 family
P31949	6282	S10AB	EF-hand 1;EF-hand 2	S-100 family
P80511	6283	S10AC	EF-hand 1;EF-hand 2	S-100 family
Q99584	6284	S10AD	EF-hand	S-100 family
P04271	6285	S100B	EF-hand 1;EF-hand 2	S-100 family
P25815	6286	S100P	EF-hand 1;EF-hand 2	S-100 family
P0DJI8	6288	SAA1		SAA family
P0DJI9	6289	SAA2		SAA family
P35542	6291	SAA4		SAA family
Q8N1B4	6293	VPS52		VPS52 family
Q15424	6294	SAFB1	SAP;RRM	
P10523	6295	ARRS		Arrestin family
Q53FZ2	6296	ACSM3		ATP-dependent AMP-binding enzyme family
Q9Y467	6297	SALL2		Sal C2H2-type zinc-finger protein family
Q9NSC2	6299	SALL1		Sal C2H2-type zinc-finger protein family
P53778	6300	MK12	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P49591	6301	SYSC		Class-II aminoacyl-tRNA synthetase family, Type-1 seryl-tRNA synthetase subfamily
P21673	6303	SAT1	N-acetyltransferase	Acetyltransferase family
Q01826	6304	SATB1		CUT homeobox family
O95248	6305	MTMR5	uDENN;cDENN;dDENN;GRAM;Myotubularin phosphatase;PH	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily
Q15800	6307	MSMO1	Fatty acid hydroxylase	Sterol desaturase family
P54253	6310	ATX1	AXH	ATXN1 family
Q99700	6311	ATX2		Ataxin-2 family
O15265	6314	ATX7	SCA7	Ataxin-7 family
P29508	6317	SPB3		Serpin family, Ov-serpin subfamily
P48594	6318	SPB4		Serpin family, Ov-serpin subfamily
O00767	6319	ACOD		Fatty acid desaturase type 1 family
Q9Y240	6320	CLC11	C-type lectin	
Q9UN30	6322	SCML1	SAM	SCM family
P35498	6323	SCN1A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily
Q07699	6324	SCN1B	Ig-like C2-type	Sodium channel auxiliary subunit SCN1B (TC 8.A.17) family
Q99250	6326	SCN2A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.2/SCN2A subfamily
Q9NY46	6328	SCN3A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.3/SCN3A subfamily
P35499	6329	SCN4A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.4/SCN4A subfamily
Q8IWT1	6330	SCN4B	Ig-like C2-type	Sodium channel auxiliary subunit SCN4B (TC 8.A.17) family
Q14524	6331	SCN5A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.5/SCN5A subfamily
Q9UQD0	6334	SCN8A	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.6/SCN8A subfamily
Q9Y5Y9	6336	SCNAA	IQ	Sodium channel (TC 1.A.1.10) family, Nav1.8/SCN10A subfamily
P37088	6337	SCNNA		Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1A subfamily
P51168	6338	SCNNB		Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1B subfamily
P51172	6339	SCNND		Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1D subfamily
P51170	6340	SCNNG		Amiloride-sensitive sodium channel (TC 1.A.6) family, SCNN1G subfamily
O75880	6341	SCO1		SCO1/2 family
P22307	6342	NLTP	SCP2	Thiolase-like superfamily, Thiolase family
P09683	6343	SECR		Glucagon family
P47872	6344	SCTR		G-protein coupled receptor 2 family
P22362	6346	CCL1		Intercrine beta (chemokine CC) family
P13500	6347	CCL2		Intercrine beta (chemokine CC) family
P10147	6348	CCL3		Intercrine beta (chemokine CC) family
P13236	6351	CCL4		Intercrine beta (chemokine CC) family
P13501	6352	CCL5		Intercrine beta (chemokine CC) family
P80098	6354	CCL7		Intercrine beta (chemokine CC) family
P80075	6355	CCL8		Intercrine beta (chemokine CC) family
P51671	6356	CCL11		Intercrine beta (chemokine CC) family
Q99616	6357	CCL13		Intercrine beta (chemokine CC) family
Q16627	6358	CCL14		Intercrine beta (chemokine CC) family
Q16663	6359	CCL15		Intercrine beta (chemokine CC) family
O15467	6360	CCL16		Intercrine beta (chemokine CC) family
Q92583	6361	CCL17		Intercrine beta (chemokine CC) family
P55774	6362	CCL18		Intercrine beta (chemokine CC) family
Q99731	6363	CCL19		Intercrine beta (chemokine CC) family
P78556	6364	CCL20		Intercrine beta (chemokine CC) family
O00585	6366	CCL21		Intercrine beta (chemokine CC) family
O00626	6367	CCL22		Intercrine beta (chemokine CC) family
P55773	6368	CCL23		Intercrine beta (chemokine CC) family
O00175	6369	CCL24		Intercrine beta (chemokine CC) family
O15444	6370	CCL25		Intercrine beta (chemokine CC) family
P80162	6372	CXCL6		Intercrine alpha (chemokine CxC) family
O14625	6373	CXL11		Intercrine alpha (chemokine CxC) family
P42830	6374	CXCL5		Intercrine alpha (chemokine CxC) family
P47992	6375	XCL1		Intercrine gamma family
P78423	6376	X3CL1		Intercrine delta family
P18827	6382	SDC1		Syndecan proteoglycan family
P34741	6383	SDC2		Syndecan proteoglycan family
P31431	6385	SDC4		Syndecan proteoglycan family
O00560	6386	SDCB1	PDZ 1;PDZ 2	
P48061	6387	SDF1		Intercrine alpha (chemokine CxC) family
Q99470	6388	SDF2	MIR 1;MIR 2;MIR 3	
P31040	6389	SDHA		FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily
P21912	6390	SDHB	2Fe-2S ferredoxin-type;4Fe-4S ferredoxin-type	Succinate dehydrogenase/fumarate reductase iron-sulfur protein family
Q99643	6391	C560		Cytochrome b560 family
O14521	6392	DHSD		CybS family
P55735	6396	SEC13		WD repeat SEC13 family
Q92503	6397	S14L1	PRELI/MSF1;CRAL-TRIO;GOLD	
Q8WVN6	6398	SCTM1		SECTM family
P0DI81	6399	TPC2A		TRAPP small subunits family, Sedlin subfamily
P0DI82	6399	TPC2B		TRAPP small subunits family, Sedlin subfamily
Q9UBV2	6400	SE1L1	Fibronectin type-II	Sel-1 family
P16581	6401	LYAM2	C-type lectin;EGF-like;Sushi 1;Sushi 2;Sushi 3;Sushi 4;Sushi 5;Sushi 6	Selectin/LECAM family
P14151	6402	LYAM1	C-type lectin;EGF-like;Sushi 1;Sushi 2	Selectin/LECAM family
P16109	6403	LYAM3	C-type lectin;EGF-like;Sushi 1;Sushi 2;Sushi 3;Sushi 4;Sushi 5;Sushi 6;Sushi 7;Sushi 8;Sushi 9	Selectin/LECAM family
Q14242	6404	SELPL		
Q13275	6405	SEM3F	Sema;Ig-like C2-type	Semaphorin family
P04279	6406	SEMG1		Semenogelin family
Q02383	6407	SEMG2		Semenogelin family
P49908	6414	SEPP1		Selenoprotein P family
P45985	6416	MP2K4	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
Q01105	6418	SET		Nucleosome assembly protein (NAP) family
Q53H47	6419	SETMR	Pre-SET;SET;Post-SET	Class V-like SAM-binding methyltransferase superfamily; Mariner transposase family
P23246	6421	SFPQ	RRM 1;RRM 2	
Q8N474	6422	SFRP1	FZ;NTR	Secreted frizzled-related protein (sFRP) family
Q96HF1	6423	SFRP2	FZ;NTR	Secreted frizzled-related protein (sFRP) family
Q6FHJ7	6424	SFRP4	FZ;NTR	Secreted frizzled-related protein (sFRP) family
Q07955	6426	SRSF1	RRM 1;RRM 2	Splicing factor SR family
Q01130	6427	SRSF2	RRM	Splicing factor SR family
P84103	6428	SRSF3	RRM	Splicing factor SR family
Q08170	6429	SRSF4	RRM 1;RRM 2	Splicing factor SR family
Q13243	6430	SRSF5	RRM 1;RRM 2	Splicing factor SR family
Q13247	6431	SRSF6	RRM 1;RRM 2	Splicing factor SR family
Q16629	6432	SRSF7	RRM	Splicing factor SR family
Q12872	6433	SFSWA		
P62995	6434	TRA2B	RRM	Splicing factor SR family
P07988	6439	PSPB	Saposin A-type;Saposin B-type 1;Saposin B-type 2;Saposin B-type 3	
P11686	6440	PSPC	BRICHOS	
P35247	6441	SFTPD	Collagen-like;C-type lectin	SFTPD family
Q16586	6442	SGCA		Sarcoglycan alpha/epsilon family
Q16585	6443	SGCB		Sarcoglycan beta/delta/gamma/zeta family
Q92629	6444	SGCD		Sarcoglycan beta/delta/gamma/zeta family
Q13326	6445	SGCG		Sarcoglycan beta/delta/gamma/zeta family
O00141	6446	SGK1	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family
P05408	6447	7B2		7B2 family
P51688	6448	SPHM		Sulfatase family
O43765	6449	SGTA		SGT family
P55822	6450	SH3BG		SH3BGR family
O75368	6451	SH3L1		SH3BGR family
P78314	6452	3BP2	PH;SH2	
Q15811	6453	ITSN1	EH 1;EF-hand 1;EH 2;EF-hand 2;SH3 1;SH3 2;SH3 3;SH3 4;SH3 5;DH;PH;C2	
Q99961	6455	SH3G1	BAR;SH3	Endophilin family
Q99962	6456	SH3G2	BAR;SH3	Endophilin family
